Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_roll,Angle_pitch,Angle_yaw,Mag_X,Mag_Y,Mag_Z,Heading
0.1,0.027,0.998,-0.18,-0.36,1.93,1.2,-5.97,-40.7,36.06,-33.94,-34.71,43.26528664
0.101,0.028,0.999,-0.04,0.01,2.28,1.22,-5.97,-40.49,36.06,-33.94,-34.71,43.26528664
0.099,0.029,0.996,-0.01,0.39,1.92,1.21,-5.97,-40.28,36.67,-32.22,-34.12,41.30407201
0.1,0.027,0.991,-0.44,0.06,2.25,1.18,-5.93,-40.08,35.45,-33.37,-35.69,43.26883241
0.098,0.022,0.989,-0.67,0.35,2.19,1.13,-5.89,-39.87,36.06,-32.41,-36.27,41.94856383
0.1,0.02,0.989,-0.64,0.65,2.04,1.07,-5.83,-39.66,35.45,-32.22,-34.51,42.26725263
0.095,0.02,0.999,-0.41,0.43,2.33,1.02,-5.78,-39.47,35.45,-32.22,-34.51,42.26725263
0.099,0.025,0.996,-0.35,0.26,1.84,0.98,-5.74,-39.27,36.67,-31.45,-34.12,40.61801808
0.096,0.023,0.997,-0.22,-0.07,2.04,0.96,-5.72,-39.07,35.86,-30.69,-34.12,40.55784487
0.094,0.02,0.995,-0.36,0.21,1.95,0.94,-5.7,-38.87,36.06,-34.32,-34.31,43.5837688
0.103,0.023,0.996,0.06,0.02,1.87,0.91,-5.71,-38.68,38.69,-33.75,-35.29,41.09879055
0.105,0.028,0.991,0.42,0.33,1.91,0.91,-5.71,-38.48,38.69,-33.75,-35.29,41.09879055
0.107,0.024,0.863,-1,0.05,1.43,0.92,-5.69,-38.3,36.26,-32.6,-36.47,41.95751652
0.141,-0.006,1.063,-0.11,0.52,1.82,0.94,-5.66,-38.11,37.07,-33.75,-33.73,42.31597257
0.113,-0.03,1.052,1.22,1.64,2,0.99,-5.63,-37.93,37.68,-32.79,-34.71,41.03053838
0.102,0.002,0.998,0.28,0.56,1.73,1.04,-5.6,-37.75,37.68,-32.79,-34.71,41.03053838
0.097,0.018,1.005,0.81,-0.13,1.56,1.1,-5.58,-37.58,39.09,-33.37,-34.51,40.48642513
0.087,0.014,1.017,1.38,-0.11,1.48,1.17,-5.6,-37.42,37.68,-33.17,-34.71,41.35771643
0.096,0.012,1.001,1.26,-1.3,1.14,1.22,-5.65,-37.27,37.68,-33.17,-34.71,41.35771643
0.09,0.04,0.96,0.33,-1.21,1.67,1.26,-5.73,-37.12,36.87,-33.94,-35.88,42.63054764
0.108,0.028,1.004,0.25,-1.48,1.74,1.27,-5.84,-36.97,36.87,-33.94,-35.88,42.63054764
0.105,0.039,1.007,-0.4,-1.16,1.71,1.26,-5.97,-36.81,36.87,-33.94,-35.88,42.63054764
0.107,0.034,1.008,-0.5,-1.2,1.78,1.23,-6.11,-36.64,36.87,-32.79,-36.67,41.64800431
0.109,0.028,0.992,-0.54,-0.68,1.74,1.16,-6.22,-36.46,36.87,-32.79,-36.67,41.64800431
0.11,0.032,0.983,-1.13,-0.22,2.04,1.08,-6.28,-36.27,37.47,-33.37,-36.08,41.68759284
0.106,0.022,0.979,-1.11,0.4,2.06,0.97,-6.28,-36.07,37.47,-33.37,-36.08,41.68759284
0.109,0.016,0.989,-0.67,0.66,1.92,0.87,-6.22,-35.86,37.07,-34.13,-35.69,42.6354782
0.103,0.021,0.981,-0.69,0.91,2.17,0.79,-6.14,-35.63,36.87,-32.79,-34.71,41.64800431
0.103,0.019,0.998,0.11,0.94,2.48,0.74,-6.03,-35.4,37.27,-33.94,-33.92,42.3226225
0.101,0.012,0.994,0.29,0.66,2.76,0.72,-5.93,-35.15,37.27,-33.94,-33.92,42.3226225
0.115,0.009,1.077,1.19,-0.11,2.84,0.73,-5.87,-34.89,36.46,-33.94,-35.49,42.94994682
0.128,-0.017,1.057,1.33,0.91,2.64,0.77,-5.83,-34.63,38.28,-34.51,-35.29,42.03513869
0.108,0.03,1.039,0.7,0.07,2.66,0.84,-5.83,-34.37,38.28,-33.75,-36.08,41.40138138
0.079,0.02,0.952,1.23,-0.51,2.69,0.93,-5.85,-34.1,38.89,-35.85,-36.67,42.67081602
0.098,0.042,1.007,0.84,-0.44,3,1.02,-5.9,-33.84,38.89,-35.85,-36.67,42.67081602
0.114,0.034,1.002,1.15,-0.33,3.16,1.09,-5.93,-33.55,38.89,-33.94,-37.06,41.11178633
0.118,0.034,0.997,0.69,0.5,2.8,1.16,-5.96,-33.27,37.88,-35.66,-35.69,43.2709
0.107,0.046,1.052,0.58,-0.01,3.16,1.22,-5.96,-32.96,37.07,-35.28,-34.51,43.58274323
0.111,0.03,1.021,0.84,0.86,3.48,1.24,-5.95,-32.63,40.91,-35.09,-35.1,40.62089635
0.092,0.049,1.044,-0.88,-0.1,3.77,1.22,-5.92,-32.29,40.91,-35.09,-35.1,40.62089635
0.111,0.047,0.99,-0.35,0.78,3.53,1.19,-5.89,-31.93,38.69,-35.28,-37.25,42.36054645
0.09,0.045,0.956,-0.14,-0.44,3.56,1.12,-5.86,-31.57,38.28,-35.66,-36.08,42.97062263
0.089,0.003,0.99,-0.47,-0.01,3.86,1.02,-5.85,-31.2,40.71,-36.81,-36.47,42.11990065
0.086,0.019,0.98,-0.33,-0.71,3.8,0.92,-5.86,-30.82,41.52,-38.34,-34.51,42.71970485
0.095,0.024,0.996,-1.47,-0.61,4.16,0.81,-5.9,-30.44,41.52,-38.34,-34.51,42.71970485
0.1,-0.013,0.997,-0.36,-0.46,4.31,0.7,-5.95,-30.04,41.52,-38.34,-34.51,42.71970485
